Date,Open,High,Low,Close,Trend(BTC),ClosePctChg
2013-04-28,135.3,135.98,132.1,134.21,58,0.0
2013-04-29,134.44,147.49,134.0,144.54,49,0.07696892928991872
2013-04-30,144.0,146.93,134.05,139.0,50,-0.0383284903832849
2013-05-01,139.0,139.89,107.72,116.99,59,-0.15834532374100718
2013-05-02,116.38,125.6,92.28,105.21,61,-0.10069236686896321
2013-05-03,106.25,108.13,79.1,97.75,67,-0.07090580743275343
2013-05-04,98.1,115.0,92.5,112.5,47,0.15089514066496168
2013-05-05,112.9,118.8,107.14,115.91,50,0.030311111111111178
2013-05-06,115.98,124.66,106.64,112.3,57,-0.031144853765852853
2013-05-07,112.25,113.44,97.7,111.5,48,-0.007123775601068583
2013-05-08,109.6,115.78,109.6,113.57,43,0.01856502242152458
2013-05-09,113.2,113.46,109.26,112.67,45,-0.00792462798274185
2013-05-10,112.8,122.0,111.55,117.2,42,0.04020591106771998
2013-05-11,117.7,118.68,113.01,115.24,38,-0.016723549488054656
2013-05-12,115.64,117.45,113.44,115.0,44,-0.0020826102047899475
2013-05-13,114.82,118.7,114.5,117.98,45,0.025913043478260844
2013-05-14,117.98,119.8,110.25,111.5,42,-0.054924563485336475
2013-05-15,111.4,115.81,103.5,114.22,48,0.024394618834080672
2013-05-16,114.22,118.76,112.2,118.76,49,0.03974785501663458
2013-05-17,118.21,125.3,116.57,123.02,43,0.035870663523071666
2013-05-18,123.5,125.25,122.3,123.5,44,0.0039018045846204163
2013-05-19,123.21,124.5,119.57,121.99,46,-0.012226720647773304
2013-05-20,122.5,123.62,120.12,122.0,48,8.19739322894808e-05
2013-05-21,122.02,123.0,121.21,122.88,41,0.00721311475409836
2013-05-22,122.89,124.0,122.0,123.89,37,0.00821940104166674
2013-05-23,123.8,126.93,123.1,126.7,34,0.022681410929050072
2013-05-24,126.3,133.85,125.72,133.2,36,0.051302288871349466
2013-05-25,133.1,133.22,128.9,131.98,33,-0.009159159159159103
2013-05-26,131.99,136.0,130.62,133.48,29,0.011365358387634528
2013-05-27,133.5,135.47,124.7,129.75,33,-0.027944261312556118
2013-05-28,129.77,130.58,125.6,129.0,39,-0.005780346820809301
2013-05-29,129.0,132.59,127.66,132.3,43,0.0255813953488373
2013-05-30,132.25,132.25,127.0,128.8,41,-0.026455026455026398
2013-05-31,128.8,129.9,126.4,129.0,36,0.0015527950310558758
2013-06-01,128.81,129.78,127.2,129.3,32,0.0023255813953488857
2013-06-02,129.3,129.4,115.05,122.29,33,-0.054215003866976086
2013-06-03,122.5,122.5,116.0,122.22,35,-0.0005724098454493731
2013-06-04,120.74,123.84,119.1,121.42,29,-0.006545573555882811
2013-06-05,121.4,123.47,119.9,121.65,32,0.0018942513589195187
2013-06-06,121.9,123.1,117.25,118.0,32,-0.030004110152075714
2013-06-07,118.97,119.0,106.42,111.5,30,-0.05508474576271183
2013-06-08,111.0,111.42,107.3,108.3,28,-0.028699551569506765
2013-06-09,107.89,108.99,88.5,100.0,36,-0.07663896583564167
2013-06-10,100.44,110.1,95.0,106.35,34,0.06349999999999989
2013-06-11,106.35,109.6,104.0,108.9,38,0.023977433004231496
2013-06-12,109.0,111.79,106.73,108.15,33,-0.00688705234159781
2013-06-13,108.78,110.3,100.53,104.0,28,-0.038372630605640334
2013-06-14,103.95,104.7,98.0,99.98,25,-0.03865384615384615
2013-06-15,100.0,103.7,98.0,99.99,28,0.00010002000400066713
2013-06-16,99.8,101.6,98.95,99.51,27,-0.004800480048004707
2013-06-17,99.9,102.21,99.0,101.7,26,0.022007838408200087
2013-06-18,101.95,111.11,101.03,107.4,31,0.05604719764011801
2013-06-19,107.05,110.22,105.75,108.25,28,0.007914338919925434
2013-06-20,108.25,114.3,107.5,110.15,27,0.01755196304849882
2013-06-21,111.29,114.99,107.69,109.5,25,-0.005901044030866998
2013-06-22,109.5,109.96,107.51,108.3,26,-0.010958904109589107
2013-06-23,108.2,108.8,106.23,107.6,29,-0.006463527239150557
2013-06-24,107.9,108.33,100.98,102.74,33,-0.045167286245353155
2013-06-25,102.09,106.47,101.01,103.95,27,0.01177730192719495
2013-06-26,103.33,105.49,102.79,104.0,29,0.0004810004810005264
2013-06-27,104.0,104.0,101.1,101.44,32,-0.024615384615384595
2013-06-28,101.74,101.74,92.33,94.65,26,-0.06693611987381698
2013-06-29,94.66,99.99,93.0,94.99,26,0.003592181722134047
2013-06-30,95.0,98.12,94.22,96.61,37,0.017054426781766496
2013-07-01,97.51,97.66,86.3,88.05,34,-0.08860366421695476
